RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
623,15636444,Craig,535,Germany,Female,53,5,141616.55,2,1,1,75888.65,0
624,15773456,Lazareva,678,Germany,Male,36,3,145747.67,2,0,1,89566.74,0
632,15811762,Pickering,583,Germany,Female,54,6,115988.86,1,1,0,57553.98,1
634,15724282,Tsao,540,Germany,Male,44,3,164113.04,2,1,1,12120.79,0
644,15640078,Chambers,660,Germany,Female,39,5,135134.99,1,1,0,173683.0,1
654,15664610,Campbell,459,Germany,Male,48,4,133994.52,1,1,1,19287.06,1
656,15692926,Toscani,498,Germany,Male,25,8,121702.73,1,1,1,132210.49,0
658,15698474,Sagese,601,Germany,Female,54,1,131039.97,2,1,1,199661.5,0
661,15592937,Napolitani,632,Germany,Female,41,3,81877.38,1,1,1,33642.21,0
671,15576368,Bledsoe,624,Germany,Female,48,3,122388.38,2,0,0,30020.09,0
678,15715142,Repina,739,Germany,Male,45,7,102703.62,1,0,1,147802.94,1
683,15775238,Achebe,651,Germany,Female,41,4,133432.59,1,0,1,151303.48,0
684,15786905,Russo,749,Germany,Female,40,8,141782.57,2,0,0,86333.63,0
688,15579334,Watkins,769,Germany,Female,45,5,126674.81,1,1,0,124118.71,1
691,15589493,Otitodilinna,716,Germany,Male,27,1,122552.34,2,1,0,67611.36,0
693,15665238,Beneventi,745,Germany,Male,36,8,145071.24,1,0,0,6078.46,0
698,15620204,Walker,543,Germany,Female,57,1,106138.33,2,1,1,120657.32,1
700,15736534,Elkins,742,Germany,Male,33,0,181656.51,1,1,1,107667.91,0
705,15808621,Mordvinova,659,Germany,Male,36,2,76190.48,2,1,1,149066.14,0
706,15580148,Welch,750,Germany,Male,40,5,168286.81,3,1,0,20451.99,1
707,15776231,Kent,626,Germany,Male,35,4,88109.81,1,1,1,32825.5,0
712,15650288,Summers,634,Germany,Male,35,6,116269.01,1,1,0,129964.94,0
717,15677369,Golubov,554,Germany,Female,37,4,58629.97,1,0,0,182038.6,0
734,15744607,Martin,738,Germany,Male,43,9,121152.05,2,1,0,64166.7,1
735,15612966,Milani,545,Germany,Female,60,7,128981.07,1,0,1,176924.21,1
750,15698839,Okwudilichukwu,460,Germany,Male,46,4,127559.97,2,1,1,126952.5,0
752,15634245,Muecke,758,Germany,Female,47,9,95523.16,1,1,0,73294.48,0
754,15661526,Anderson,815,Germany,Male,37,2,110777.26,2,1,0,2383.59,0
757,15637979,Fuller,664,Germany,Female,36,2,127160.78,2,1,0,78140.75,0
763,15637876,Burns,663,Germany,Female,36,6,77253.5,1,0,0,35817.97,1
764,15622750,Chu,742,Germany,Female,21,1,114292.48,1,1,0,31520.4,0
765,15672056,Kenenna,710,Germany,Male,43,2,140080.32,3,1,1,157908.19,1
768,15677921,Bobrov,720,Germany,Male,60,9,115920.62,2,0,0,157552.08,1
771,15584091,Pitts,742,Germany,Female,36,2,129748.54,2,0,0,47271.61,1
775,15789158,Nikitina,636,Germany,Male,49,6,113599.74,2,1,0,158887.09,1
777,15712551,Shen,622,Germany,Female,58,7,116922.25,1,1,0,120415.61,1
785,15571221,Bergamaschi,747,Germany,Male,58,7,116313.57,1,1,1,190696.35,1
788,15694366,Hou,714,Germany,Male,42,2,177640.09,1,0,1,47166.55,0
793,15707473,Summers,850,Germany,Female,48,6,111962.99,1,1,0,111755.8,0
794,15769504,Munro,743,Germany,Female,34,1,131736.88,1,1,1,108543.21,0
796,15686870,Ball,761,Germany,Male,36,8,108239.11,2,0,0,99444.02,0
798,15766908,Trevisani,488,Germany,Male,32,3,114540.38,1,1,0,92568.07,0
800,15567367,Tao,601,Germany,Female,42,9,133636.16,1,0,1,103315.74,0
802,15762238,Fraser,671,Germany,Female,44,0,84745.03,2,0,1,34673.98,0
803,15681554,Alley,614,Germany,Female,31,7,120599.38,2,1,1,46163.44,0
809,15708917,Martin,598,Germany,Male,53,10,167772.96,1,1,1,136886.86,0
814,15775306,Ni,421,Germany,Male,28,8,122384.22,3,1,1,89017.38,1
818,15806438,Chiabuotu,580,Germany,Female,42,2,123331.36,1,0,0,103516.08,1
821,15596939,Calabresi,659,Germany,Male,36,4,132578.92,2,1,0,84320.94,0
826,15660602,Ch'eng,464,Germany,Male,33,8,164284.72,2,1,1,3710.34,0
829,15596914,Shaw,630,Germany,Female,31,2,112373.49,2,1,1,131167.98,0
833,15797964,Cameron,732,Germany,Female,29,1,154333.82,1,1,1,138527.56,0
834,15625881,Koehler,634,Germany,Male,37,3,111432.77,2,1,1,167032.49,0
838,15589488,Ch'eng,686,Germany,Female,56,5,111642.08,1,1,1,80553.87,0
841,15707567,Esposito,732,Germany,Male,50,6,145338.76,1,0,0,91936.1,1
843,15599433,Fanucci,660,Germany,Male,35,8,58641.43,1,0,1,198674.08,0
847,15608968,Averyanov,714,Germany,Male,21,6,86402.52,2,0,0,27330.59,0
851,15572265,Wu,646,Germany,Male,46,1,170826.55,2,1,0,45041.32,0
852,15794048,Wan,667,Germany,Female,48,1,97133.92,2,0,0,113316.77,1
853,15677610,Chambers,511,Germany,Female,41,8,153895.65,1,1,1,39087.42,0
857,15693864,Iheanacho,567,Germany,Female,49,5,134956.02,1,1,0,93953.84,1
866,15686983,Rohu,678,Germany,Female,25,10,76968.12,2,0,1,131501.72,0
869,15646810,Quinn,603,Germany,Male,44,6,108122.39,2,1,0,108488.33,1
872,15692750,McGregor,629,Germany,Female,45,7,129818.39,3,1,0,9217.55,1
877,15581229,Gregory,502,Germany,Female,32,1,173340.83,1,0,1,122763.95,0
889,15702968,Artemieva,733,Germany,Male,74,3,106545.53,1,1,1,134589.58,0
892,15780140,Bellucci,435,Germany,Male,32,2,57017.06,2,1,1,5907.11,0
895,15669987,Sung,728,Germany,Female,35,8,125884.95,2,1,0,54359.02,1
896,15697000,Mello,728,Germany,Male,32,5,61825.5,1,1,1,156124.93,0
900,15632210,Hill,657,Germany,Male,25,2,171770.55,1,1,0,22745.5,0
901,15642041,Burns,727,Germany,Male,40,1,93051.64,2,1,0,71865.31,1
914,15655961,Palermo,756,Germany,Male,27,1,131899.0,1,1,0,93302.29,0
924,15601026,Gallagher,572,Germany,Female,19,1,138657.08,1,1,1,16161.82,0
926,15636731,Ts'ai,714,Germany,Female,36,1,101609.01,2,1,1,447.73,0
928,15633461,Pai,639,Germany,Male,38,5,130170.82,1,1,1,149599.62,0
929,15677135,Lorenzo,520,Germany,Male,61,8,133802.29,2,1,1,90304.01,0
932,15700476,Azubuike,564,Germany,Male,41,9,103522.75,2,1,1,34338.21,0
933,15634141,Shephard,708,Germany,Female,42,8,192390.52,2,1,0,823.36,0
938,15662100,Hsu,850,Germany,Female,44,5,128605.32,1,0,1,171096.2,0
944,15781465,Schofield,675,Germany,Female,29,8,121326.42,1,1,0,133457.52,0
952,15785899,Ch'en,789,Germany,Male,33,8,151607.56,1,1,0,4389.4,0
953,15606149,Wood,571,Germany,Female,66,9,111577.01,1,0,1,189271.9,0
961,15686164,Maclean,850,Germany,Female,31,1,108822.4,1,1,1,132173.31,0
965,15580956,McNess,683,Germany,Female,43,4,115888.04,1,1,1,117349.19,1
970,15605926,Sinclair,649,Germany,Male,70,9,116854.71,2,0,1,107125.79,0
973,15605918,Padovesi,635,Germany,Male,43,5,78992.75,2,0,0,153265.31,0
982,15566156,Franklin,749,Germany,Female,44,0,71497.79,2,0,0,151083.8,0
984,15807008,McGregor,614,Germany,Female,35,6,128100.28,1,0,0,69454.24,1
986,15756475,Kenniff,551,Germany,Male,31,9,82293.82,2,1,1,91565.25,0
993,15724563,Hawkins,752,Germany,Female,42,3,65046.08,2,0,1,140139.28,0
999,15659557,Artamonova,811,Germany,Female,28,4,167738.82,2,1,1,9903.42,0
1001,15691111,Pai,648,Germany,Female,42,8,121980.56,2,1,0,4027.02,0
1003,15633897,Owen,725,Germany,Male,39,1,50880.98,2,1,1,184023.54,0
1005,15723685,Ekechukwu,601,Germany,Female,26,7,105514.69,2,1,0,50070.59,0
1006,15701602,Ayers,521,Germany,Male,52,5,116497.31,3,0,0,53793.1,1
1017,15770424,Onyeorulu,541,Germany,Male,40,7,95710.11,2,1,0,49063.42,0
1018,15587451,Goold,778,Germany,Male,41,7,139706.31,1,1,0,63337.19,0
1019,15602010,Zikoranaudodimma,850,Germany,Female,45,5,103909.86,1,1,0,60083.11,1
1028,15769948,Palerma,737,Germany,Male,35,0,133377.8,1,0,1,64050.19,0
1049,15645103,Su,812,Germany,Male,25,5,54817.55,1,1,0,131660.31,0
1050,15705860,McKenzie,631,Germany,Male,40,3,107949.45,1,1,0,52449.62,1
1053,15623471,Marcelo,607,Germany,Male,38,3,98205.77,1,1,0,176318.27,0
1059,15706186,McKenzie,640,Germany,Male,33,8,81677.22,2,0,0,34925.56,0
1063,15631189,Riggs,613,Germany,Male,38,9,67111.65,1,1,0,78566.64,1
1068,15599131,Dilke,650,Germany,Male,26,4,214346.96,2,1,0,128815.33,0
1071,15648075,Hebert,686,Germany,Female,47,5,170935.94,1,1,0,173179.79,1
1072,15586970,Pinto,695,Germany,Male,52,8,103023.26,1,1,1,22485.64,0
1076,15762937,Chiganu,743,Germany,Female,32,6,140348.56,2,1,1,163254.39,0
1079,15633650,Woods,677,Germany,Female,41,8,146720.98,2,1,1,4195.84,0
1081,15589195,Bluett,766,Germany,Female,38,7,130933.74,1,0,1,2035.94,0
1091,15604304,Perry,539,Germany,Female,34,4,91622.42,1,1,1,136603.42,0
1097,15813168,Maslova,756,Germany,Female,39,3,100717.85,3,1,1,73406.04,1
1104,15780144,Tisdall,512,Germany,Female,32,2,123403.85,2,1,0,80120.19,0
1108,15660316,Stephenson,420,Germany,Female,34,1,135549.9,1,0,0,149471.13,1
1109,15678886,Golubev,679,Germany,Male,38,7,110555.37,2,1,0,46522.68,0
1112,15798424,Glover,833,Germany,Male,59,1,130854.59,1,1,1,30722.52,1
1114,15648800,Paterson,731,Germany,Female,21,8,132312.06,1,1,0,106663.46,1
1121,15589358,Stanley,848,Germany,Male,31,4,90018.45,2,1,0,193132.98,0
1123,15789955,Hu,698,Germany,Male,56,1,112414.81,2,0,0,93982.02,1
1124,15596800,Hill,779,Germany,Male,33,1,158456.76,1,1,1,197000.92,1
1126,15645316,Han,612,Germany,Female,58,1,149641.53,1,1,1,115161.28,0
1128,15647301,Bray,549,Germany,Female,45,3,143734.01,2,1,1,96404.38,0
1131,15628205,Greco,571,Germany,Female,34,1,101736.66,1,0,1,195651.66,0
1136,15656121,Medvedeva,733,Germany,Male,31,6,157791.07,2,0,0,177994.81,0
1139,15698510,Onwudiwe,468,Germany,Male,42,9,181627.14,2,1,0,172668.39,0
1145,15694821,Hardy,765,Germany,Male,43,4,148962.76,1,0,1,173878.87,1
1147,15575581,Dickson,614,Germany,Female,30,3,131344.52,2,1,0,54776.64,0
1148,15671209,Holden,593,Germany,Female,29,5,101713.84,3,1,0,134594.99,0
1153,15589754,Malloy,652,Germany,Male,45,2,151421.44,1,0,1,115333.43,0
1154,15669899,Fitts,755,Germany,Female,45,7,135643.0,1,0,0,143619.52,1
1159,15690007,Ts'ui,434,Germany,Female,58,9,125801.03,2,1,0,60891.8,1
1164,15600997,Demuth,747,Germany,Female,32,5,67495.04,2,0,1,77370.37,0
1166,15723907,Lawless,712,Germany,Female,49,5,154776.42,2,0,0,196257.68,0
1167,15633419,Brooks,622,Germany,Female,28,1,143124.63,2,1,0,81723.8,0
1172,15640454,Parkhill,693,Germany,Male,40,0,120711.73,1,0,0,27345.18,1
1173,15697789,Li Fonti,647,Germany,Female,43,3,122717.53,2,1,1,87000.39,0
1180,15814032,Hsieh,807,Germany,Female,31,1,93460.47,2,0,0,172782.69,0
1182,15624428,Longo,651,Germany,Female,24,7,40224.7,1,1,1,178341.33,0
1185,15755649,Winter-Irving,584,Germany,Male,47,7,130538.77,1,1,0,92915.84,0
1192,15686909,Lung,639,Germany,Male,27,3,150795.81,1,0,1,85208.93,0
1197,15739131,Whitworth,718,Germany,Male,28,4,65643.3,1,1,0,28760.99,0
1201,15804602,Boyd,772,Germany,Male,30,6,99785.28,2,0,0,197238.03,0
1202,15651052,McMasters,399,Germany,Male,46,2,127655.22,1,1,0,139994.68,1
1208,15594864,Huang,752,Germany,Male,30,4,81523.38,1,1,1,36885.85,0
1218,15696900,Burns,505,Germany,Male,29,3,145541.56,2,1,1,58019.95,0
1220,15812272,Ugonna,693,Germany,Male,44,5,124601.58,2,1,1,46998.13,1
1221,15654654,L?,725,Germany,Female,33,7,115182.84,2,1,1,177279.41,0
1227,15775572,Bergamaschi,531,Germany,Female,42,6,88324.31,2,1,0,75248.75,0
1231,15742480,Igwebuike,775,Germany,Male,36,2,109949.05,2,0,1,71682.54,0
1233,15607537,Crawford,587,Germany,Male,46,9,107850.82,1,1,0,139431.0,1
1234,15575410,Chidiegwu,667,Germany,Female,39,4,83765.35,2,1,0,118358.54,0
1236,15600700,Pan,523,Germany,Male,63,6,116227.27,1,1,1,119404.63,0
1237,15774155,Trevisani,662,Germany,Male,33,0,103471.52,1,1,1,162703.0,0
1243,15813132,Chukwukadibia,696,Germany,Male,30,4,114027.7,1,1,1,193716.56,0
1244,15593331,Sidorov,693,Germany,Male,25,6,146580.69,1,0,1,14633.35,0
1245,15616709,Bunton,587,Germany,Female,38,0,132122.42,2,0,0,31730.32,0
1251,15702789,Carter,548,Germany,Male,32,5,175214.71,1,1,1,155165.61,0
1252,15814930,McGregor,588,Germany,Female,40,10,125534.51,1,1,0,121504.18,1
